movie_title,num_critic_for_reviews,duration,DIRECTOR_facebook_likes,actor_3_facebook_likes,ACTOR_1_facebook_likes,gross,num_voted_users,Cast_Total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,ACTOR_2_facebook_likes,imdb_score
Avatar?Ÿ,723,178.0,10,855,1000,760505847,886204.0,4834.0,1.875,3054,237000000,2009,936.0,7.9
Pirates Of The Caribbean: At World'S End?Ÿ,302,151.7,563,1000,40000,309404152,471220.0,48350.0,1.875,1238,300000000,2007,5000.0,7.1
Spectre?Ÿ,602,148.0,20,161,11000,200074175,275868.0,11700.0,1.0,994,245000000,2015,393.0,6.8
The Dark Knight Rises?Ÿ,813,151.7,22000,23000,27000,448130642,1144337.0,106759.0,1.875,2701,250000000,2012,23000.0,8.5
John Carter?Ÿ,462,132.0,"""475""",530,640,73058679,212204.0,1873.0,1.0,738,263700000,2012,632.0,6.6
Spider-Man 3?Ÿ,392,156.0,23,4000,24000,336530303,383056.0,46055.0,1.875,1902,258000000,2007,11000.0,6.2
Tangled?Ÿ,324,151.7,15,284,799,200807262,294810.0,40480.27272727273,1.0,387,260000000,2010,553.0,7.8
Avengers: Age Of Ultron?Ÿ,635,141.0,10,19000,26000,458991599,462669.0,92000.0,4.0,1117,250000000,2015,21000.0,7.5
Harry Potter And The Half-Blood Prince?Ÿ,375,153.0,282,10000,25000,301956980,321795.0,58753.0,3.0,973,250000000,2009,11000.0,7.5
Batman V Superman: Dawn Of Justice?Ÿ,673,183.0,Unknown,2000,15000,330249062,462115.25,24450.0,1.875,3018,250000000,2016,7410.5,6.9
Superman Returns?Ÿ,434,169.0,Unknown,903,18000,200069408,240396.0,40480.27272727273,2.0,2367,209000000,2006,10000.0,6.1
Quantum Of Solace?Ÿ,403,106.0,395,393,451,168368427,330784.0,2023.0,1.0,1243,200000000,2008,412.0,6.7
Pirates Of The Caribbean: Dead Man'S Chest?Ÿ,313,151.0,563,1000,40000,423032628,522040.0,48486.0,2.0,1832,225000000,2006,5000.0,7.3
